a	á
Dyflinarreglugerðarinnar	Dyflinnarreglugerðarinnar
Dyflinarreglugerðin	Dyflinnarreglugerðin
Dyflinarreglugerðina	Dyflinnarreglugerðina
Dyflinarreglugerðinni	Dyflinnarreglugerðinni
dálítíð	dálítið
dæmsi	dæmis
dísel	dísill
díselbifreiða	dísilbifreiða
díselbíla	dísilbíla
díselbílar	dísilbílar
díselbílum	dísilbílum
díselolía	dísilolía
díselolíu	dísilolíu
díselrafstöðvar	dísilrafstöðvar
díselrafstöðvum	dísilrafstöðvum
díselvél	dísilvél
díselvélar	dísilvélar
díselvélum	dísilvélar
Dóminikanska	Dóminíska
Dóminíkanska	Dóminíska
Dóminós	Dominos
dómsmálaráherra	dómsmálaráðherra
Dórothea	Dóróthea
Dóróthe	Dóróthea
dóttirinn	dóttirin
Dögunnar	Dögunar
dögunu	dögunum
döguðu	dagaði
dökklæddur	dökkklæddur
Dúbai	Dúbaí
Dúbæ	Dúbaí
dúettnum	dúettinum
e.a.	e-a
e.kr.	e.Kr.
e.t.v	e.t.v.
Eda	Eða
eda	eða
efh	ehf.
efitr	eftir
Efnhagsmál	Efnahagsmál
efnhagsráðherra	efnahagsráðherra
Efraim	Efraím
eft	eftir
Efta	EFTA
efti	eftir
eftirpurn	eftirspurn
eftirsóknaverður	eftirsóknarverður
eftispurn	eftirspurn
eftr	eftir
eftri	eftir
eftstu	efstu
eftur	eftir
efur	hefur
eg	ég
egar	þegar
Egilson	Egilsson
Egilsst	Egilsst.
Egilstaða	Egilsstaða
Egilstaði	Egilsstaði
Egilstöðum	Egilsstöðum
egir	segir
Eidur	Eiður
eigandanna	eigendanna
eigendi	eigandi
eimitt	einmitt
eimmitt	einmitt
Einarsdottir	Einarsdóttir
Einarsssonar	Einarssonar
einfaldega	einfaldlega
einfallt	einfalt
eingungis	einungis
eingögnu	eingöngu
einhvað	eitthvað
einhven	einhver
einhversslags	einhvers lags
einhvert	eitthvert
einingis	einungis
einkaðilar	einkaaðilar
einkunina	einkunnina
einkuninn	einkunnin
einng	einnig
einning	einnig
einnnig	einnig
einnrar	einnar
einsta	einasta
einstaklingins	einstaklingsins
einstalinga	einstaklinga
einstalingi	einstaklingi
einta	eintak
eintaklinga	einstaklinga
einugis	einungis
einunigs	einungis
einvherju	einhverju
eithvað	eitthvað
eitthver	einhver
eitthverjir	einhverjir
eitthvða	eitthvað
eittthvað	eitthvað
eittvað	eitthvað
Eiðnum	Eiðinum
eki	ekki
ekk	ekki
ekker	ekkert
ekkkert	ekkert
ekkki	ekki
ekstrarhagnaður	rekstrarhagnaður
elfd	efld
elft	eflt
Elliðárdalsins	Elliðaárdalsins
Emannuel	Emanuel
embæti	embætti
emiritus	emeritus
Emmsje	Emmsjé
Emmsé	Emmsjé
emætti	embætti
endan	endann
endurskodun	endurskoðun
engann	engan
Engann	Engan
Englendinum	Englendingum
engur	lengur
Eritreu	Erítreu
erle	erl.
Erlingdsdóttir	Erlingsdóttir
erm	erum
Ermolinskji	Ermolinskij
Ermonlinskij	Ermolinskij
Eríkur	Eiríkur
Esjberg	Esbjerg
essu	þessu
ethanóli	etanóli
etta	þetta
etv	e.t.v.
Eurovison	Eurovision
Eurovisonlagið	Eurovisionlagið
Evrest	Everest
evrópulögum	Evrópulögum
Evrópumeistarmótinu	Evrópumeistaramótinu
Evrópusambandins	Evrópusambandsins
evrópusæti	Evrópusæti
evrópusætið	Evrópusætið
Evróusambandsins	Evrópusambandsins
Evópu	Evrópu
Evópumótinu	Evrópumótinu
exel	Excel
Exel	Excel
Eyglóu	Eygló
eyjunna	eyjuna
eyrnarmerkt	eyrnamerkt
eyturlyfjaneyslu	eiturlyfjaneyslu
eðliegt	eðlilegt
f.Kr	f.Kr.
f.kr.	f.Kr.
f.v.	fv.
F.v.	fv.
fagurferði	fagurfræði
Fakó	FAKÓ
falleinkun	___
Fanndis	Fanndís
fanns	fannst
fanst	fannst
farandsfæti	faraldsfæti
fariði	friði
Fatimusjóðinn	Fatímusjóðinn
Fbl	Fbl.
feb	feb.
febr	febr.
fegurðasamkeppnir	fegurðarsamkeppnir
fekar	frekar
fekk	fékk
Felixsson	Felixson
fellibyli	fellibylji
fellibylir	fellibyljir
felstum	flestum
felt	fellt
feminisma	femínisma
feminismi	feminismi
feminista	femínista
feministar	femínistar
feministi	femínisti
feministiska	feminíska
feministum	femínistum
Feminísk	Feminísk
femínisk	feminísk
femíniska	feminísk
fengar	fengnar
fengð	fengið
ferkar	frekar
ferkst	ferskt
fermeter	fermetri
ferðamannastrauminum	ferðamannastraumnum
ferðaþjónstu	ferðaþjónustu
ferðaþjónstunnar	ferðaþjónustunnar
ferðaþjónstunni	ferðaþjónustunni
ferðaþónustu	ferðaþjónustu
ferði	verði
ferðlag	ferðalag
ferðlagi	ferðalagi
ferðlagið	ferðalagið
ferðlög	ferðalög
ferðlögum	ferðalögum
ferðmanna	ferðamanna
ferðmaður	ferðamaður
ferðmenn	ferðamenn
ferðmönnum	ferðamönnum
ferðþjónustu	ferðaþjónustu
ferðþjónustunnar	ferðaþjónustunnar
festst	fest
feyknagóð	feiknagóð
feyknasterku	feiknasterku
feðgininum	feðginunum
fftl	fftl.
FHingar	FH-ingar
Filippeysk	Filippseysk
filippeysk	filippseysk
filippeyska	filippseyska
Filippeyski	Filippseyski
filippeyskra	filippseyskra
filippeysku	filippseysku
filippeyskum	filippseyskum
Filipseyinga	Filippseyinga
Filipseyja	Filippseyja
Filipseyjar	Filippseyjar
Filipseyjum	Filippseyjum
filistea	fílistea
Fillipseyjum	Filippseyjum
fimtán	fimmtán
fin	fín
fingu	fingur
Finlandi	Finnlandi
finndi	fyndi
finndist	fyndist
Finnson	Finnsson
Finsson	Finnsson
fir	yfir
Fjarðab	Fjarðab.
Fjelsted	Fjeldsted
fjá	fá
fjámunum	fjármunum
Fjámálaeftirlitið	Fjármálaeftirlitið
fjárfestingakosts	fjárfestingarkostar
Fjármálaeftirlitisins	Fjármálaeftirlitsins
fjármálafyrirækja	fjármálafyrirtækja
fjármálaráherra	fjármálaráðherra
fjármálaætlun	fjármálaáætlun
fjárs	fjár
fjársins	fjárins
fjærri	fjarri
fjóran	fjóra
fjórfallt	fjórfalt
fjórtan	fjórtán
fjóru	fjórum
fjórðunginum	fjórðungnum
fjögura	fjögurra
Fjölb	Fjölb.
fjölbreyttni	fjölbreytni
fjöldan	fjöldann
fjölmiðillin	fjölmiðillinn
fjölmiðlu	fjölmiðlum
Fjölskylan	Fjölskyldan
fjölskylduföðursins	fjölskylduföðurins
fjölskyldumeðliminum	fjölskyldumeðlimnum
fjömiðlum	fjölmiðlum
fjörtíu	fjörutíu
fjöðurin	fjöðrin
flandsfélagið	aflandsfélagið
fleir	fleiri
fleirra	fleira
fleirri	fleiri
fleri	fleiri
flesti	flestir
fljúgjandi	fljúgandi
flokkin	flokkinn
flokkins	flokksins
flokkinum	flokknum
floksins	flokksins
Florída	Flórída
flugfélagins	flugfélagsins
flugvell	flugvelli
flugvélaginu	flugfélaginu
flugvélagsins	flugfélagsins
flugvélinu	flugfélaginu
flugvöllin	flugvöllinn
fluttning	flutning
Flygering	Flygenring
flyja	flýja
Flórdía	Flórída
Flórida	Flórída
flótt	fljótt
flóttamannastrauminum	flóttamannastraumnum
flúga	fljúga
flýa	flýja
flýji	flýi
fme	FME
fnr	fnr.
fokkin	fokking
folksins	fólksins
fomaður	formaður
foresti	forseti
formúgu	formúu
Fornite	Fortnite
forrystu	forystu
forrystuna	forystuna
forráðarmenn	forráðamenn
forsaetisraduneyti	forsætisráðuneyti
forsetakosningana	forsetakosninganna
forsetakosningnunum	forsetakosningunum
forsv.m.	forsvm.
forsytu	forystu
forsætirsráðherra	forsætisráðherra
forsætisráherra	forsætisráðherra
forsætisráðhera	forsætisráðherra
forsætisráðherran	forsætisráðherrann
forsætisráðherrra	forsætisráðherra
forsætsiráðherra	forsætisráðherra
forsætsráðherra	forsætisráðherra
fotbolti	fótbolti
foyrstu	forystu
foystu	forystu
fra	frá
Frabær	Frábær
Frakkklandi	Frakklandi
framboðsliðsta	framboðslista
framhalldið	framhaldið
framherjan	framherjann
framistöðu	frammistöðu
framkvæmdasstjóri	framkvæmdastjóri
framleiðandum	framleiðandanum
framlengarinnar	framlengingarinnar
framlenginu	framlengingu
framlenginunni	framlengingunni
framm	fram
framn	framan
Framsóknarflokkins	Framsóknarflokksins
Framsóknarflokkinum	Framsóknarflokknum
framtið	framtíð
framvæmdastjóri	framkvæmdastjóri
franskal	franska
fraumraun	frumraun
frettir	fréttir
Freya	Freyja
fri	frí
Fridriksdottir	Friðriksdóttir
Fridriksson	Friðriksson
frir	frír
friðhelgis	friðhelgi
friðlísing	friðlýsing
friðnum	friðinum
friðs	friðar
Frj	Frj.
frjálsyndi	frjálslyndi
frkvstj	frkvstj.
frma	fram
frmaboðs	framboðs
Frumv	Frumv.
frv	frv.
Frv	Frv.
frátaldri	frátalinni
frægann	frægan
fræum	fræjum
fréttastofunar	fréttastofunnar
fréttatilkyningu	fréttatilkynningu
fréttatofu	fréttastofu
fréttirnir	fréttirnar
Fróðarheiði	Fróðárheiði
ftir	eftir
fulljóst	fullljóst
fullnægji	fullnægi
fullorðina	fullorðinna
fullsaddann	fullsaddan
fulltrúm	fulltrúum
fundarinns	fundarins
fygjast	fylgjast
fygljast	fylgjast
fyir	fyrir
fyirir	fyrir
fyirr	fyrir
fylgast	fylgjast
fylgjst	fylgjast
fyr	fyrir
fyr	fyrr
fyrirgefiði	___
fyriri	fyrir
fyrirsætnana	fyrirsætnanna
fyrirtæja	fyrirtækja
fyrirtækins	fyrirtækisins
fyrirtækjana	fyrirtækjanna
fyrirtæksins	fyrirtækisins
fyrirtæksisins	fyrirtækisins
fyrirverandi	fyrrverandi
fyriræki	fyrirtæki
fyrirækja	fyrirtækja
fyrrir	fyrir
fyrrv	fyrrv.
fyrs	fyrst
fyrsa	fyrsta
fyrverandi	fyrrverandi
fyst	fyrst
fysta	fyrsta
fystu	fyrstu
fámennsta	fámennasta
fáranleikans	fáránleikans
fæturnar	fæturna
féi	fé
fék	fékk
félagins	félagsins
Félagsvísindast	Félagsvísindast.
félgar	félagar
félgasins	félagsins
félst	féllst
fésbókasíðu	fésbókarsíðu
Fídji	Fídjí
Fíh	FÍH
fítus	fídus
fóbolta	fótbolta
fók	fólk
fóki	fólki
fókin	flókin
fólinsýru	fólínsýru
fórnarlambana	fórnarlambanna
fótana	fæturna
fös	fös.
Fös	Fös.
föðurs	föður
föðursins	föðurins
gafa	gaf
gagnvar	gagnvart
gagvart	gagnvart
Galatasary	Galatasaray
Galleri	Gallerí
gamal	gamall
Gamal	Gamall
gamali	gamli
gamalsdags	gamaldags
gamanið	gamnið
Gamanið	Gamnið
gangrýnd	gagnrýnd
gangrýndi	gagnrýndi
gangrýndur	gagnrýndur
gangrýni	gagnrýni
gangrýnir	gagnrýnir
gangrýnt	gagnrýnt
gangvart	gagnvart
Garðarbæ	Garðabæ
Garðarbæjar	Garðabæjar
Garðarson	Garðarsson
Garðarsyni	Garðarssyni
Garðasson	Garðarsson
geg	gegn
gegnst	gengst
gegnur	gengur
gegum	gegnum
geiminum	geimnum
geist	geyst
geiða	greiða
gekki	gekk
gengdi	gegndi
gengdu	gegndu
gengt	gegnt
Georgiu	Georgíu
gerfi	gervi
geriða	greiða
gestana	gestanna
getiru	getirðu
geturu	geturðu
geysar	geisar
geysað	geisað
geysaði	geisaði
geðheilbrigðis	geðheilbrigði
Gissuradóttir	Gissurardóttir
Gissurason	Gissurarson
gjöreyðilagri	gjöreyðilagðri
glimmrandi	glimrandi
Glitins	Glitnis
gluggan	gluggann
glyfosat	glýfosat
glóðurauga	glóðarauga
glútein	glúten
glúteinlaust	glútenlaust
Golfstrauminum	Golfstraumnum
gonguhopur	gönguhópur
grata	gráta
greinni	greininni
greinninni	greininni
greiðsluþáttöku	greiðsluþátttöku
grendinni	grenndinni
grenslast	grennslast
Grimsson	Grímsson
Grindvaík	Grindavík
griðarstað	griðastað
griðarstaðir	griðastað
griðarstaður	griðastaður
griðarsvæði	griðasvæði
griðarsvæðis	griðasvæðis
gráturs	grátur
gróðrastía	gróðrarstía
gróðrastöð	gróðrarstöð
gróðurhúsalofftegunda	gróðurhúsalofttegunda
Gudmundson	Guðmundsson
Gudmundsson	Guðmundsson
Gudmundur	Guðmundur
Gudrun	Guðrún
Guinnes	Guinness
Gunan	Gunna
Gunnarsdottir	Gunnarsdóttir
Guðfinnson	Guðfinnsson
Guðfinsson	Guðfinnsson
Guðjónsen	Guðjohnsen
Guðjónss	Guðjónss.
Guðmundir	Guðmundur
Guðmunds	Guðmundar
Guðmundsdótir	Guðmundsdóttir
Guðmundssson	Guðmundsson
Guðmunsdóttir	Guðmundsdóttir
Guðn	Guðni
Guðrun	Guðrún
gæjinn	gæinn
gækvöldi	gærkvöldi
gæri	gæti
gæsluvarhaldi	gæsluvarðhaldi
gékk	gekk
gíslinu	gíslingu
Gólíat	Golíat
göfgastur	göfugastur
gömu	gömlu
Gönu	Gana
Gúam	Gvam
hafað	hafa
Hafnarstæti	Hafnarstræti
hafo	hafi
hafð	hafði
hagræðingur	hagfræðingur
Hakon	Hákon
Haldiði	___
Halldorsson	Halldórsson
Halldórson	Halldórsson
Hallgrimur	Hallgrímur
hamingu	hamingju
han	hann
hanbolta	handbolta
handók	handtók
hanns	hans
harnað	harðnað
Harrisson	Harrison
Harðadóttir	Harðardóttir
Harðarsson	Harðarson
hashtaginu	kassmerkinu
Haukssson	Hauksson
haustinn	haustin
haustins	haustsins
Havanna	Havana
Havard	Harvard
hdl	hdl.
Hdl	Hdl.
hefu	hefur
hefuru	hefurðu
hefðbunda	hefðbundna
hefðbundar	hefðbundnar
hegðunnar	hegðunar
heibrigðisráðherra	heilbrigðisráðherra
heilbrigðisþjónstu	heilbrigðisþjónustu
heimildi	heimildir
heimilidir	heimildir
Heimilisfriðs	Heimilisfriðar
heimilsfang	heimilisfang
heimilsofbeldi	heimilisofbeldi
heimli	heimili
Helsinborg	Helsingborg
helv	helv.
hengu	héngu
henn	henni
Henn	Henni
hennir	henni
Herdis	Herdís
hestins	hestsins
heðan	héðan
heðgun	hegðun
Heðin	Héðin
hgl	hgl.
highliter	highlighter
Himalayafjöllum	Himalajafjöllum
hing	hring
hinga	hingað
hinns	hins
hinsegins	hinsegin
hiphopi	hipphoppi
hiphoppi	hipphoppi
hiphopsins	hipphoppsins
hittst	hist
hja	hjá
Hjalmar	Hjálmar
hjalp	hjálp
Hjartarsson	Hjartarson
hjónband	hjónaband
Hjövar	Hjörvar
hjúkrunarfrædingur	hjúkrunarfræðingur
hjúkrunarheimilsins	hjúkrunarheimilisins
hkd	hkd.
hlutafe	hlutafé
hluterk	hlutverk
hluverk	hlutverk
hlýtar	hlítar
hneysa	hneisa
hnéi	hné
hnéinu	hnénu
hnéið	hnéð
hollusthætti	hollustuhætti
Hondúrass	Hondúras
honm	honum
Hornarfirði	Hornafirði
hornspynu	hornspyrnu
Hrd	Hrd.
hrellti	hrelldi
hringin	hringinn
hrl	hrl.
hryðjuverkaáras	hryðjuverkaárás
hryðjuverkaárasum	hryðjuverkaárásum
Hróaskeldu	Hróarskeldu
Hsu	HSu
Hugsins	Hugins
hundað	hundrað
hundruða	hundraða
hundruði	hundruð
hundruðir	hundruð
hunduð	hundruð
hungraðari	hungraðri
Huston	Houston
huta	hluta
huti	hluti
huxa	hugsa
huxi	hugsi
hva	hvar
hvassvirði	hvassviðri
hvassvirðri	hvassviðri
hvaðann	hvaðan
hvenig	hvernig
hverngi	hvernig
hverni	hvernig
hverning	hvernig
hvernir	hvernig
hverstu	hversu
hveru	hversu
hvirfilbyli	hvirfilbylji
hvorutveggja	hvort tveggja
hvða	hvað
hyggðist	hygðist
hyggðust	hygðust
hyglt	hyglað
Hysing	Hýsing
háannartíma	háannatíma
háflleik	hálfleik
Hákons	Hákonar
Hálfdáns	Hálfdánar
hálfeikinn	hálfleikinn
hálfeiknum	hálfleiknum
hálfeiks	hálfleiks
hálftíman	hálftímann
hállfeik	hálfleik
hátið	hátíð
hátiðina	hátíðina
hátiðinni	hátíðinni
hátíðinnar	hátíðarinnar
hæstarréttardómari	hæstaréttardómari
hæstaréttadómara	hæstaréttardómara
hæstaréttalögmaður	hæstaréttarlögmaður
Hæstarétts	Hæstaréttar
Hæstaréttur	Hæstiréttur
Hæstiréttar	Hæstaréttar
hæstlaunuðustu	hæstlaunuðu
héllt	hélt
Hérðasdómi	Héraðsdómi
héðann	héðan
hópinum	hópnum
Hórmóna	Hormóna
Hórmónar	Hormónar
höfu	höfum
höfuborgarsvæðinu	höfuðborgarsvæðinu
höfuðborgarsvæð	höfuðborgarsvæði
höfuðborgarsvæðinsins	höfuðborgarsvæðisins
höfuðborgarsvæðsins	höfuðborgarsvæðisins
höfuðu	höfðu
höfuðuð	höfðuð
höfðuborg	höfuðborg
höfðuborgarsvæðinu	höfuðborgarsvæðinu
höfðuborgarsvæðisins	höfuðborgarsvæðisins
höfðuðborgarsvæðinu	höfuðborgarsvæðinu
höllinn	höllin
hönnuðurnir	hönnuðirnir
húsakosts	húsakostar
húsins	hússins
hússin	hússins
Húta	Hútúa
húta	Hútúa
Hútar	Hútúar
Hútum	Hútúum
i	í
ifir	yfir
ign	Sign
ikea	Ikea
inann	innan
Indonesíu	Indónesíu
Ingbjörg	Ingibjörg
Ingimundarsson	Ingimundarson
Inglourious	Inglorious
innann	innan
innanrikisradherra	innanríkisráðherra
innanrikisraduneyti	innanríkisráðuneyti
innblástri	innblæstri
innbyrgðis	innbyrðis
innflytendur	innflytjendur
innflytjendmál	innflytjendamál
innhélt	innihélt
inniviði	innviði
innlutningi	innflutningi
innnan	innan
innsk.blm	innsk.blm.
innsyglaði	innsiglaði
innviðauppbygginu	innviðauppbyggingu
Instgram	Instagram
Instragram	Instagram
inum	einum
Isavía	Isavia
isl	ísl.
Isl	Ísl.
islam	íslam
islamista	íslamista
islams	íslams
Islandi	Íslandi
itl	til
iðnám	iðnnám
jafnfram	jafnframt
Jafnfram	Jafnframt
jafnramt	jafnframt
Jafnramt	Jafnframt
jafntefi	jafntefli
jafntelfi	jafntefli
jafvel	jafnvel
Jak	Jak.
jamt	jafnt
janframt	jafnframt
Janiero	Janeiro
jarðgangnagerð	jarðgangagerð
jarðskjáfta	jarðskjálfta
Jerúsalems	Jerúsalem
Johanna	Jóhanna
Johannes	Jóhannes
Johannesar	Jóhannesar
Johanns	Jóhanns
Johönnu	Jóhönnu
Joi	Jói
Jonköpings	Jönköpings
Jonsdottir	Jónsdóttir
Jorunn	Jórunn
judgment	judgement
Juillard	Juilliard
jur	jur.
Jésú	Jesú
Jóh	Jóh.
Jóhanesson	Jóhannesson
Jóhanneson	Jóhannesson
Jóhannson	Jóhannsson
Jóhannsonar	Jóhannssonar
Jóhannssson	Jóhannsson
Jóhannsyni	Jóhannssyni
Jóhansson	Jóhannsson
Jóhanssonar	Jóhannssonar
Jómfrúreyja	Jómfrúaeyja
Jómfrúreyjar	Jómfrúaeyjar
Jómfrúreyjarnar	Jómfrúaeyjarnar
Jómfrúreyjum	Jómfrúaeyjum
jómfrúreyjum	Jómfrúaeyjum
Jómfrúreyjunum	Jómfrúaeyjunum
Jónson	Jónsson
Jónss	Jónss.
jög	mjög
jölbreytt	fjölbreytt
