afhverju	af hverju
meiraðsegja	meira að segja
meiriháttar	meiri háttar
meðanað	meðan að
meðþví	með því
meðþvíað	með því að
mikilsháttar	mikils háttar
minniháttar	minni háttar
minnstakosti	minnsta kosti
Morgunblaðinuí	Morgunblaðinu í
Morokkó	Marokkó
MæjuBellu	Mæju Bellu
mörghundruð	mörg hundruð
mörgþúsund	mörg þúsund
neinei	nei nei
neinsstaðar	neins staðar
neinstaðar	neins staðar
niðreftir	niður eftir
niðrá	niður á
niðrí	niður í
niðureftir	niður eftir
niðurfrá	niður frá
niðurfyrir	niður fyrir
niðurá	niður á
niðurávið	niður á við
nokkrusinni	nokkru sinni
nokkurntíma	nokkurn tíma
nokkurntíman	nokkurn tímann
nokkurntímann	nokkurn tímann
nokkurnvegin	nokkurn veginn
nokkurnveginn	nokkurn veginn
nokkurskonar	nokkurs konar
nokkursstaðar	nokkurs staðar
nokkurstaðar	nokkurs staðar
norðanfrá	norðan frá
norðanmegin	norðan megin
norðantil	norðan til
norðaustantil	norðaustan til
norðureftir	norður eftir
norðurfrá	norður frá
norðurúr	norður úr
norðvestantil	norðvestan til
norðvesturtil	norðvestur til
níuhundruð	níu hundruð
núþegar	nú þegar
ofanaf	ofan af
ofanfrá	ofan frá
ofaná	ofan á
ofaní	ofan í
ofanúr	ofan úr
oní	ofan í
réttumegin	réttum megin
réttummegin	réttum megin
samanað	saman að
samansem	saman sem
samanvið	saman við
samasem	sama sem
Sameinuðuþjóðanna	Sameinuðu þjóðanna
samskonar	sams konar
seinnihluta	seinni hluta
seinnihluti	seinni hluti
seinnipartur	seinni partur
semsagt	sem sagt
semsé	sem sé
sexhundruð	sex hundruð
sigrihrósandi	sigri hrósandi
sjöhundruð	sjö hundruð
sjöttuhlutar	sjöttu hlutar
sléttsama	slétt sama
smámsaman	smám saman
sosum	svo sem
sumsstaðar	sums staðar
sumstaðar	sums staðar
sumsé	sem sé
sunnanað	sunnan að
sunnanfrá	sunnan frá
sunnanmegin	sunnan megin
sunnantil	sunnan til
sunnanvið	sunnan við
sunnatil	sunnan til
suðaustantil	suðaustan til
suðuraf	suður af
suðureftir	suður eftir
suðurfrá	suður frá
suðurfyrir	suður fyrir
suðurmeð	suður með
suðurí	suður í
suðvestantil	suðvestan til
svoað	svo að
svokallaður	svo kallaður
svosem	svo sem
svosemeins	svo sem eins
svotil	svo til
síðanað	síðan að
tilað	til að
tilbaka	til baka
tilþessað	til þess að
tonní	tonn í
Tveirþrjátíu	Tveir þrjátíu
tvennskonar	tvenns konar
tvöhundruð	tvö hundruð
tvöþúsund	tvö þúsund
tólfhundruð	tólf hundruð
umað	um að
umfram	um fram
undanað	undan að
undanúr	undan úr
undireins	undir eins
uppaf	upp af
uppað	upp að
uppeftir	upp eftir
uppfrá	upp frá
uppfyrir	upp fyrir
uppundir	upp undir
uppvið	upp við
uppá	upp á
uppávið	upp á við
uppí	upp í
uppúr	upp úr
utanaf	utan af
utanað	utan að
utanfrá	utan frá
utanmeð	utan með
utanum	utan um
utanundir	utan undir
utanvið	utan við
utanyfir	utan yfir
utaná	utan á
vegnaþess	vegna þess
veriði	verið þið
vestanfrá	vestan frá
vestantil	vestan til
vestureftir	vestur eftir
vesturfrá	vestur frá
vesturyfir	vestur yfir
vesturúr	vestur úr
vitlausumegin	vitlausum megin
viðkemur	við kemur
viðkom	við kom
viðkæmi	við kæmi
viðkæmum	við kæmum
víðsfjarri	víðs fjarri
víðsvegar	víðs vegar
yfirum	yfir um
áeftir	á eftir
ámeðal	á meðal
ámilli	á milli
árangursmælikvarðarEndurgreiðslur	árangursmælikvarðar Endurgreiðslur
ÁrósasamningsinsÍsland	Árósasamningsins Ísland
áttahundruð	átta hundruð
áðuren	áður en
áþví	á því
öðruhverju	öðru hverju
öðruhvoru	öðru hvoru
öðrumegin	öðrum megin
ÚrskurðurHinn	Úrskurður Hinn
úrþvíað	úr því að
útaf	út af
útfrá	út frá
útfyrir	út fyrir
útifyrir	út fyrir
útivið	út við
útivið	úti við
Útmeða	Út með það
útundan	út undan
útvið	út við
útá	út á
útávið	út á við
útí	út í
útúr	út úr
ýmiskonar	ýmiss konar
ýmisskonar	ýmiss konar
þ.á.m	þ. á m.
þ.ám.	þ. á m.
þangaðsem	þangað sem
þarafleiðandi	þar af leiðandi
þaraðauki	þar að auki
þaraðlútandi	þar að lútandi
þareð	þar eð
þarmeð	þar með
þarsem	þar sem
þarsíðasta	þar síðasta
þarsíðustu	þar síðustu
þartilgerður	þar til gerður
þeimegin	þeim megin
þeimmegin	þeim megin
þessað	þess að
þessháttar	þess háttar
þesskonar	þess konar
þesskyns	þess kyns
þessvegna	þess vegna
þriðjuhlutar	þriðju hlutar
þrjúhundruð	þrjú hundruð
þrjúþúsund	þrjú þúsund
þvíað	því að
þvínæst	því næst
þínmegin	þín megin
þóað	þó að
